question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT s.Singer) FROM Song s;,2.265498161315918,52.27272727272727
What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT s.SingerId) AS total_singers FROM Singer s;,1.5768325328826904,40.0
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, s.country, s.age FROM singers s ORDER BY s.age DESC",1.5267536640167236,80.3030303030303
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, s.country, s.age FROM singers s ORDER BY s.age DESC",1.9338648319244385,80.3030303030303
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singers WHERE country = 'France';",1.8832383155822754,89.74358974358975
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singers WHERE country = 'France';",1.5860404968261719,89.74358974358975
Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.birth_date, s.age, s.name AS singer_name, s.age AS singer_age, s.name AS song_name, s.release_year AS song_release_year FROM (SELECT s.name, s.birth_date, s.age, s.name AS singer_name, s.age AS singer_age, s.name AS song_name, s.release_year AS song_release_year FROM songs s) AS subquery WHERE subquery.singer_age = (SELECT MIN(subquery2.singer_age) FROM (SELECT s.name, s.birth_date, s.age, s.name AS singer_name, s.age AS singer_age, s.name AS song_name, s.release_year AS song_release_year FROM songs s) AS subquery2);",12.035731554031372,12.430426716140996
What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.song_name, s.release_year, s.artist_name FROM songs s WHERE s.artist_name = (SELECT MIN(artist_name) FROM songs);",2.4570376873016357,37.704918032786885
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT c.country FROM singers s JOIN countries c ON s.country_id = c.country WHERE s.age > 20,1.9753191471099854,47.05882352941176
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT c.country FROM singers s JOIN countries c ON s.country_id = c.country WHERE s.age > 20,1.9765796661376953,47.05882352941176
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT c.name, COUNT(s.country) AS num_singers FROM singers s JOIN countries c ON s.country = c.code GROUP BY c.name",2.4444196224212646,35.3448275862069
How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT s.country, COUNT(s.name) AS singer_count FROM singers s GROUP BY s.country",2.0947158336639404,61.728395061728406
List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT s.song_name, s.singer_name, AVG(s.singer_age) AS avg_age FROM songs s GROUP BY s.song_name, s.singer_name HAVING s.singer_age > AVG(s.singer_age)",3.8610050678253174,34.86842105263158
What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT s.song_name, s.artist_name, AVG(s.age) AS average_age FROM songs s GROUP BY s.song_name, s.artist_name HAVING s.age > AVG(s.age)",3.0106053352355957,34.81481481481481
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT s.name, s.location FROM stadiums s WHERE s.capacity BETWEEN 5000 AND 10000;",1.8397853374481201,73.17073170731707
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT s.name, s.capacity, s.location FROM stations s WHERE s.capacity BETWEEN 5000 AND 10000;",2.033162832260132,63.829787234042556
What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(capacity), AVG(capacity) AS average_capacity FROM stadiums;",1.744276762008667,60.0
What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity), MAX(capacity) FROM stadiums;",1.4596059322357178,92.0
What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT s.name, AVG(s.capacity) AS avg_capacity FROM stadiums s GROUP BY s.name ORDER BY avg_capacity DESC LIMIT 1",2.1689391136169434,53.98230088495575
What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT s.name, AVG(s.capacity) AS avg_capacity FROM stadiums s GROUP BY s.name ORDER BY avg_capacity DESC LIMIT 1",2.1940717697143555,53.98230088495575
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concerts WHERE EXTRACT(YEAR FROM concert_date) IN (2014, 2015);",1.977020263671875,58.33333333333333
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concerts WHERE EXTRACT(YEAR FROM concert_date) IN (2014, 2015);",2.004807472229004,58.33333333333333
Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name, COUNT(c.id) AS concert_count FROM Stadium s LEFT JOIN Concert c ON s.id = c.stadium_id GROUP BY s.name",2.8168389797210693,53.278688524590166
