question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT s.id) FROM singer s;,1.1950089931488037,61.904761904761905
What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(DISTINCT s.id) AS total_singers FROM singer s;,1.4435973167419434,44.067796610169495
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, s.country, s.age FROM singer s ORDER BY s.age ASC;",1.668790340423584,76.92307692307692
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT s.name, c.name AS country, EXTRACT(YEAR FROM AGE(s.date_of_birth)) AS age FROM singer s JOIN country c ON s.country_code = c.code ORDER BY age DESC;",3.8063113689422607,36.7741935483871
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(EXTRACT(YEAR FROM AGE(CURRENT_DATE, s.birth_date))) AS average_age, MIN(EXTRACT(YEAR FROM AGE(CURRENT_DATE, s.birth_date))) AS minimum_age, MAX(EXTRACT(YEAR FROM AGE(CURRENT_DATE, s.birth_date))) AS maximum_age FROM singer s WHERE s.nationality ILIKE '%French%';",7.72235631942749,24.17582417582418
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(EXTRACT(YEAR FROM AGE(CURRENT_DATE, s.birthdate))) AS average_age, MIN(EXTRACT(YEAR FROM AGE(CURRENT_DATE, s.birthdate))) AS minimum_age, MAX(EXTRACT(YEAR FROM AGE(CURRENT_DATE, s.birthdate))) AS maximum_age FROM singer s WHERE s.nationality ILIKE '%French%';",7.7607643604278564,24.444444444444446
Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT m.name, MIN(m.year) AS min_year FROM Musician m GROUP BY m.name ORDER BY min_year ASC LIMIT 1;",2.4713335037231445,45.54455445544554
What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.release_year FROM singer s ORDER BY s.release_year ASC LIMIT 1;",1.7963416576385498,63.74999999999999
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20;,1.1612379550933838,92.3076923076923
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT c.country FROM singer s JOIN country c ON s.country = c.country WHERE s.age > 20;,2.159864664077759,49.48453608247423
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT c.country, COUNT(s.id) AS number_of_singers FROM country c JOIN singer s ON c.id = s.country GROUP BY c.country ORDER BY number_of_singers DESC NULLS LAST;",3.7859039306640625,30.864197530864203
How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT s.nationality, COUNT(s.nationality) AS number_of_singers FROM singers s GROUP BY s.nationality ORDER BY number_of_singers DESC NULLS LAST;",3.758014678955078,29.655172413793107
List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.name FROM singer s WHERE s.age > (SELECT AVG(s2.age) FROM singer s2);,1.9433987140655518,78.2051282051282
What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.name FROM singer s WHERE s.age > (SELECT AVG(s2.age) FROM singer s2);,1.970646858215332,78.2051282051282
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT s.name, s.location FROM stadium s WHERE s.capacity BETWEEN 5000 AND 10000;",2.386107921600342,74.07407407407408
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT s.name, s.location FROM station s WHERE s.capacity BETWEEN 5000 AND 10000;",2.5723485946655273,70.37037037037037
What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(capacity) AS max_capacity, AVG(capacity) AS average_capacity FROM stadiums;",2.5765037536621094,48.837209302325576
What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(s.capacity) AS average_capacity, MAX(s.capacity) AS maximum_capacity FROM stadiums s;",2.269304037094116,51.04166666666667
What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT s.name, AVG(s.capacity) AS average_capacity FROM stadiums s GROUP BY s.name ORDER BY average_capacity DESC NULLS LAST LIMIT 1;",2.893923282623291,48.872180451127825
What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT s.name, AVG(s.capacity) AS average_capacity FROM stadiums s GROUP BY s.name ORDER BY average_capacity DESC NULLS LAST LIMIT 1;",2.9106154441833496,48.872180451127825
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concerts c WHERE c.year IN (2014, 2015);",1.7898929119110107,66.15384615384615
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concerts c WHERE EXTRACT(YEAR FROM c.date) IN (2014, 2015);",3.092620372772217,58.75
Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name, COUNT(c.id) AS number_of_concerts FROM concerts c JOIN venues v ON c.venue_id = v.id JOIN stadiums s ON v.stadium_id = s.id GROUP BY s.name ORDER BY number_of_concerts DESC NULLS LAST;",4.818096399307251,37.688442211055275
"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT s.name, COUNT(c.id) AS number_of_concerts FROM stadiums s JOIN concerts c ON s.id = c.stadium_id GROUP BY s.name ORDER BY number_of_concerts DESC NULLS LAST;",3.9635422229766846,41.463414634146346
Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT s.name, s.capacity, COUNT(c.id) AS concert_count FROM concerts c JOIN stadiums s ON c.stadium_id = s.id WHERE EXTRACT(YEAR FROM c.date) >= 2014 GROUP BY s.name, s.capacity ORDER BY concert_count DESC;",5.866822719573975,45.410628019323674
What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT s.name, SUM(c.tickets_sold) AS total_tickets_sold FROM concerts c JOIN venues v ON c.venue_id = v.id JOIN stadiums s ON v.stadium_id = s.id WHERE c.date_time > '2013-01-01' GROUP BY s.name ORDER BY total_tickets_sold DESC LIMIT 1;",6.28246808052063,44.30379746835443
Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT EXTRACT(YEAR FROM c.concert_date) AS YEAR, COUNT(*) AS concert_count FROM concerts c GROUP BY YEAR ORDER BY concert_count DESC LIMIT 1;",3.5243120193481445,45.070422535211264
What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT EXTRACT(YEAR FROM c.date) AS YEAR, COUNT(*) AS concert_count FROM concerts c GROUP BY YEAR ORDER BY concert_count DESC LIMIT 1;",3.2025983333587646,47.76119402985075
Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT s.name FROM stadium s LEFT JOIN concert c ON s.id = c.stadium_id WHERE c.id IS NULL;,2.1199557781219482,48.35164835164834
What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT s.name FROM stadium s LEFT JOIN concert c ON s.name = c.venue_name WHERE c.venue_name IS NULL;,2.2160661220550537,38.613861386138616
Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT c.name FROM country c JOIN singer s ON c.id = s.country_id WHERE s.age > 40 AND s.age < 30;,2.603320360183716,36.73469387755102
Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT s.name FROM stadiums s LEFT JOIN concerts c ON s.name = c.venue_name AND EXTRACT(YEAR FROM c.date) = 2014 WHERE c.venue_name IS NULL;,4.353726148605347,34.50704225352113
What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,"SELECT DISTINCT s.name FROM stadiums s LEFT JOIN concerts c ON s.name = c.venue_name AND to_date(c.date, 'YYYY-MM-DD') BETWEEN to_date('2014-01-01', 'YYYY-MM-DD') AND to_date('2014-12-31', 'YYYY-MM-DD') WHERE c.venue_name IS NULL;",6.739332914352417,30.000000000000004
Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT c.name, c.theme, COUNT(s.id) AS number_of_singers FROM concerts c JOIN singers s ON c.id = s.concert_id GROUP BY c.name, c.theme;",3.57987117767334,48.026315789473685
"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT c.name AS concert_name, t.name AS theme_name, COUNT(s.id) AS number_of_singers FROM Concerts c JOIN Themes t ON c.theme_id = t.id JOIN Singers s ON c.id = s.concert_id GROUP BY c.name, t.name;",5.577608585357666,45.226130653266324
List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(c.id) AS number_of_concerts FROM singer s JOIN concert c ON s.id = c.singer_id GROUP BY s.name ORDER BY number_of_concerts DESC NULLS LAST;",3.794912815093994,41.87499999999999
What are the names of the singers and number of concerts for each person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT s.name, COUNT(c.concert_id) AS number_of_concerts FROM singer s JOIN concert_singer cs ON s.singer_id = cs.singer_id JOIN concert c ON cs.concert_id = c.concert_id GROUP BY s.name ORDER BY number_of_concerts DESC NULLS LAST;",6.293542385101318,38.528138528138534
List all singer names in concerts in year 2014.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT s.name FROM singer s JOIN concert c ON s.id = c.singer_id WHERE EXTRACT(YEAR FROM c.date) = 2014;,2.950054883956909,43.27485380116959
