question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many heads of the departments are older than 56 ?,SELECT COUNT(*) FROM head WHERE age > 56,SELECT COUNT(*) FROM head WHERE age > 56;,1.0463037490844727,97.5609756097561
"List the name, born state and age of the heads of departments ordered by age.","SELECT name, born_state, age FROM head ORDER BY age","SELECT h.name, h.born_state, h.age FROM head h ORDER BY h.age NULLS LAST;",2.55851149559021,69.86301369863014
"List the creation year, name and budget of each department.","SELECT creation, name, budget_in_billions FROM department","SELECT d.creation, d.name, d.budget_in_billions FROM department d;",1.7997727394104004,86.36363636363636
What are the maximum and minimum budget of the departments?,"SELECT MAX(budget_in_billions), MIN(budget_in_billions) FROM department","SELECT MAX(d.budget_in_billions) AS max_budget, MIN(d.budget_in_billions) AS min_budget FROM department d;",2.9402778148651123,66.98113207547169
What is the average number of employees of the departments whose rank is between 10 and 15?,SELECT AVG(num_employees) FROM department WHERE ranking BETWEEN 10 AND 15,SELECT AVG(d.num_employees) FROM department d WHERE d.ranking BETWEEN 10 AND 15;,2.346676826477051,91.25
What are the names of the heads who are born outside the California state?,SELECT name FROM head WHERE born_state <> 'California',SELECT h.name FROM head h WHERE h.born_state != 'California';,1.443040132522583,85.24590163934427
What are the distinct creation years of the departments managed by a secretary born in state 'Alabama'?,SELECT DISTINCT T1.creation FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id JOIN head AS T3 ON T2.head_id = T3.head_id WHERE T3.born_state = 'Alabama',"SELECT EXTRACT(YEAR FROM to_date(d.creation, 'YYYY-MM-DD')) AS creation_year FROM department d JOIN management m ON d.department_id = m.department_id JOIN head h ON m.head_id = h.head_id WHERE h.born_state = 'Alabama' GROUP BY creation_year;",6.304097414016724,56.43153526970954
What are the names of the states where at least 3 heads were born?,SELECT born_state FROM head GROUP BY born_state HAVING COUNT(*) >= 3,SELECT h.born_state FROM head h GROUP BY h.born_state HAVING COUNT(h.born_state) >= 3;,2.2242863178253174,77.90697674418605
In which year were most departments established?,SELECT creation FROM department GROUP BY creation ORDER BY COUNT(*) DESC LIMIT 1,"SELECT EXTRACT(YEAR FROM to_date(d.creation, 'YYYY')) AS YEAR, COUNT(*) AS number_of_departments FROM department d GROUP BY YEAR ORDER BY YEAR DESC LIMIT 1;",3.532808780670166,37.17948717948718
Show the name and number of employees for the departments managed by heads whose temporary acting value is 'Yes'?,"SELECT T1.name, T1.num_employees FROM department AS T1 JOIN management AS T2 ON T1.department_id = T2.department_id WHERE T2.temporary_acting = 'Yes'","SELECT d.name, CAST(d.num_employees AS INTEGER) AS num_employees FROM department d JOIN management m ON d.department_id = m.department_id WHERE m.temporary_acting = 'Yes';",4.53977108001709,69.00584795321637
