question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers,0.6769933700561523,96.42857142857143
What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers,0.15339040756225586,96.42857142857143
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC",0.1574695110321045,91.52542372881356
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC",0.17838716506958008,91.52542372881356
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singers WHERE country='France'",0.16193580627441406,88.46153846153845
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age), MIN(age), MAX(age) FROM singers WHERE country='France'",0.17094063758850098,88.46153846153845
Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT name, release_year FROM singers JOIN songs ON singers.id = songs.singer_id ORDER BY singers.age ASC LIMIT 1",0.18397784233093262,41.22807017543859
What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.release_year 
FROM songs s 
JOIN singers si ON s.singer_id = si.id 
JOIN (SELECT id, MIN(age) as min_age FROM singers GROUP BY id) m ON si.id = m.id",0.2189652919769287,29.09090909090909
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20,0.15184354782104492,94.23076923076923
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20,0.14501142501831055,94.23076923076923
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singers GROUP BY country",0.18047451972961426,94.54545454545455
How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singers GROUP BY country",0.15551042556762695,94.54545454545455
List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singers WHERE age > (SELECT AVG(age) FROM singers),0.16549372673034668,94.44444444444444
What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM songs WHERE singer_age > (SELECT AVG(singer_age) FROM singers),0.15141630172729492,76.19047619047619
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadiums WHERE capacity BETWEEN 5000 AND 10000",0.1602342128753662,95.94594594594594
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stations WHERE capacity BETWEEN 5000 AND 10000",0.16884565353393555,91.89189189189189
What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(capacity) ,  AVG(capacity) FROM stadiums",0.16272950172424316,74.50980392156863
What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity), MAX(capacity) FROM stadiums",0.15572071075439453,94.0
What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadiums ORDER BY avg_attendance DESC LIMIT 1",0.15923595428466797,83.33333333333334
What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadiums ORDER BY avg_attendance DESC LIMIT 1",0.17248964309692383,83.33333333333334
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concerts WHERE year IN (2014, 2015)",0.20007944107055664,73.84615384615385
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM table WHERE year = 2014 OR year = 2015,0.3429720401763916,84.61538461538461
Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium_name, COUNT(concert_id) FROM concerts GROUP BY stadium_name",0.15883994102478027,36.885245901639344
"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium, COUNT(*) FROM concerts GROUP BY stadium",0.30141377449035645,40.16393442622951
Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT stadium_name, capacity FROM concerts WHERE year >= 2014 GROUP BY stadium_name ORDER BY COUNT(*) DESC LIMIT 1",0.23307180404663086,53.888888888888886
What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT name, capacity FROM stadiums WHERE id = ( SELECT s.id FROM stadiums s JOIN concerts c ON s.id = c.stadium_id GROUP BY s.id ORDER BY COUNT(c.id) DESC LIMIT 1 ) AND year > 2013",0.23012614250183105,36.46408839779005
Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,"SELECT year, COUNT(*) as total_concerts FROM concerts GROUP BY year ORDER BY total_concerts DESC LIMIT 1",0.1868751049041748,60.57692307692308
What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT year FROM concerts GROUP BY year ORDER BY COUNT(*) DESC LIMIT 1,0.6855769157409668,98.57142857142858
Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT stadium_name FROM stadiums WHERE stadium_name NOT IN (SELECT stadium_name FROM concerts),0.2776613235473633,81.05263157894737
What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts),0.15097427368164062,87.65432098765432
Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,"SELECT c1.name, c2.name FROM countries c1 JOIN countries c2 ON 1=1 WHERE c1.id IN (SELECT country_id FROM singers WHERE age > 40) AND c2.id IN (SELECT country_id FROM singers WHERE age < 30)",2.6958091259002686,42.63157894736842
Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadiums WHERE name NOT IN (SELECT s.name FROM concerts c JOIN stadiums s ON c.stadium_id = s.id WHERE c.year = 2014),2.329038143157959,68.30985915492957
What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts WHERE year = 2014),2.4282729625701904,45.77464788732394
Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT name, theme, COUNT(singer_id) FROM concerts GROUP BY name, theme",2.2912042140960693,36.18421052631579
"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT name, theme, COUNT(singer_id) FROM concerts GROUP BY name, theme",2.2839255332946777,36.18421052631579
List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer_name, COUNT(concert_id) FROM concerts GROUP BY singer_name",2.3691320419311523,35.9375
