question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers,0.18065905570983887,96.42857142857143
What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers,0.13742685317993164,96.42857142857143
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC",0.15929508209228516,91.52542372881356
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC",0.1465587615966797,91.52542372881356
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) as average_age, MIN(age) as minimum_age, MAX(age) as maximum_age FROM singers WHERE country='France'",0.1994779109954834,58.62068965517242
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) as average_age, MIN(age) as min_age, MAX(age) as max_age FROM singers WHERE nationality = 'French'",0.18216490745544434,57.01754385964912
Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT name, release_year FROM songs ORDER BY singer_age LIMIT 1",0.1775217056274414,68.57142857142857
What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song_name, release_year FROM songs JOIN singers ON songs.singer_id = singers.id ORDER BY singers.age ASC LIMIT 1",0.18584227561950684,47.05882352941176
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20,0.14322113990783691,94.23076923076923
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20,0.15064668655395508,94.23076923076923
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(singer_id) FROM singers GROUP BY country",0.1606762409210205,80.64516129032258
How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) FROM singers GROUP BY country",0.1544189453125,94.54545454545455
List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singers WHERE age > (SELECT AVG(age) FROM singers),0.15938019752502441,94.44444444444444
What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT song_name FROM singers AS s JOIN songs AS so ON s.singer_id = so.singer_id WHERE s.age > (SELECT AVG(age) FROM singers),0.22057580947875977,53.968253968253975
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadiums WHERE capacity BETWEEN 5000 AND 10000",0.1543898582458496,95.94594594594594
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stations WHERE capacity BETWEEN 5000 AND 10000",0.15990519523620605,91.89189189189189
What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(capacity) , AVG(capacity) FROM stadiums",0.147019624710083,76.0
What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity) as average_capacity, MAX(capacity) as max_capacity FROM stadiums",0.16941595077514648,57.647058823529406
What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium ORDER BY avg_attendance DESC LIMIT 1",0.16684341430664062,84.50704225352112
What is the name and capacity for the stadium with the highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT name, capacity FROM stadium ORDER BY avg_attendance DESC LIMIT 1",0.18656110763549805,84.50704225352112
How many concerts are there in year 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,SELECT COUNT(*) FROM concerts WHERE YEAR = 2014 OR YEAR = 2015,0.1539306640625,92.3076923076923
How many concerts occurred in 2014 or 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,"SELECT COUNT(*) FROM concerts WHERE YEAR(date) IN (2014, 2015)",0.1607377529144287,67.6923076923077
Show the stadium name and the number of concerts in each stadium.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium_name, COUNT(concert_id) FROM concerts GROUP BY stadium_name",0.1503450870513916,36.885245901639344
"For each stadium, how many concerts play there?","SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id","SELECT stadium, COUNT(*) FROM concerts GROUP BY stadium",0.15457630157470703,40.16393442622951
Show the stadium name and capacity with most number of concerts in year 2014 or after.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1","SELECT stadium_name, capacity FROM stadium WHERE year >= 2014 GROUP BY stadium_name, capacity ORDER BY COUNT(concert_id) DESC LIMIT 1",0.22058749198913574,42.77777777777778
What is the name and capacity of the stadium with the most concerts after 2013 ?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1","SELECT name, capacity FROM stadium WHERE year > 2013 GROUP BY name, capacity ORDER BY COUNT(concerts) DESC LIMIT 1",0.18729400634765625,47.486033519553075
Which year has most number of concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concerts GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1,0.1435225009918213,98.57142857142858
What is the year that had the most concerts?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,SELECT YEAR FROM concerts GROUP BY YEAR ORDER BY COUNT(*) DESC LIMIT 1,0.14798712730407715,98.57142857142858
Show the stadium names without any concert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT stadium_name FROM stadiums WHERE concert_id IS NULL,0.15114736557006836,39.50617283950617
What are the names of the stadiums without any concerts?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts),0.18521976470947266,87.65432098765432
Show countries where a singer above age 40 and a singer below 30 are from.,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,SELECT country FROM singers WHERE age > 40 INTERSECT SELECT country FROM singers WHERE age < 30,2.2524869441986084,93.81443298969072
Show names for all stadiums except for stadiums having a concert in year 2014.,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadiums WHERE id NOT IN (SELECT stadium_id FROM concerts WHERE YEAR(date) = 2014),2.2507927417755127,42.25352112676056
What are the names of all stadiums that did not have a concert in 2014?,SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,SELECT name FROM stadium WHERE id NOT IN (SELECT stadium_id FROM concert WHERE year = 2014),2.250321626663208,45.77464788732394
Show the name and theme for all concerts and the number of singers in each concert.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id","SELECT T1.name, T1.theme, COUNT(T2.singer_id) AS number_of_singers FROM concerts T1 LEFT JOIN concert_singers T2 ON T1.concert_id = T2.concert_id GROUP BY T1.name, T1.theme",2.3150548934936523,56.97674418604651
"What are the names , themes , and number of singers for every concert ?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id","SELECT name, theme, COUNT(singer_id) AS number_of_singers FROM concerts GROUP BY name, theme",2.2451305389404297,41.44736842105263
List singer names and number of concerts for each singer.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT singer_name, COUNT(concert_id) FROM concerts GROUP BY singer_name",2.2375082969665527,35.9375
What are the names of the singers and number of concerts for each person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id","SELECT name, COUNT(concert_id) FROM singers GROUP BY name",2.224499464035034,37.5
List all singer names in concerts in year 2014.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT singer_name FROM concerts WHERE YEAR(concert_date) = 2014,2.2537224292755127,29.824561403508774
What are the names of the singers who performed in a concert in 2014?,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,SELECT name FROM singers WHERE year_performed = 2014,2.2838943004608154,25.730994152046783
what is the name and nation of the singer who have a song having 'Hey' in its name?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T1.name, T1.nation FROM singer AS T1 INNER JOIN song AS T2 ON T1.id = T2.singer_id WHERE T2.name LIKE '%Hey%'",2.2854018211364746,43.96551724137932
What is the name and country of origin of every singer who has a song with the word 'Hey' in its title?,"SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'","SELECT T1.name, T1.country FROM singers AS T1 INNER JOIN songs AS T2 ON T1.id = T2.singer_id WHERE T2.title LIKE '%Hey%'",2.2632455825805664,44.99999999999999
Find the name and location of the stadiums which some concerts happened in the years of both 2014 and 2015.,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT name, location FROM stadiums WHERE id IN (SELECT stadium_id FROM concerts WHERE year = 2014) AND id IN (SELECT stadium_id FROM concerts WHERE year = 2015)",2.289956569671631,39.84674329501916
What are the names and locations of the stadiums that had concerts that occurred in both 2014 and 2015?,"SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015","SELECT T1.name, T1.location FROM stadiums AS T1 INNER JOIN concerts AS T2 ON T1.id = T2.stadium_id WHERE T2.year = 2014 INTERSECT SELECT T1.name, T1.location FROM stadiums AS T1 INNER JOIN concerts AS T2 ON T1.id = T2.stadium_id WHERE T2.year = 2015",2.3081891536712646,70.11494252873563
Find the number of concerts happened in the stadium with the highest capacity .,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concerts WHERE stadium_id = (SELECT stadium_id FROM stadiums ORDER BY capacity DESC LIMIT 1),2.289412498474121,98.23008849557522
What are the number of concerts that occurred in the stadium with the largest capacity ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),SELECT COUNT(*) FROM concerts WHERE stadium_id = (SELECT stadium_id FROM stadiums ORDER BY capacity DESC LIMIT 1),2.301137685775757,98.23008849557522
Find the number of pets whose weight is heavier than 10.,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM pets WHERE weight > 10,2.2276272773742676,95.55555555555556
How many pets have a greater weight than 10?,SELECT count(*) FROM pets WHERE weight  >  10,SELECT COUNT(*) FROM pets WHERE weight > 10,2.2177720069885254,95.55555555555556
Find the weight of the youngest dog.,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM dogs ORDER BY age ASC LIMIT 1,2.2324588298797607,81.25
How much does the youngest dog weigh?,SELECT weight FROM pets ORDER BY pet_age LIMIT 1,SELECT weight FROM dogs ORDER BY age ASC LIMIT 1,2.2263238430023193,81.25
Find the maximum weight for each type of pet. List the maximum weight and pet type.,"SELECT max(weight) ,  petType FROM pets GROUP BY petType","SELECT MAX(weight) as max_weight, type FROM pets GROUP BY type",2.223712921142578,75.80645161290323
