question,gold_sql,pred_sql,latency_sec,string_match_percentage
How many singers do we have?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers;,2.0247700214385986,93.10344827586206
What is the total number of singers?,SELECT count(*) FROM singer,SELECT COUNT(*) FROM singers;,1.0754799842834473,93.10344827586206
"Show name, country, age for all singers ordered by age from the oldest to the youngest.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC;",1.0392439365386963,89.83050847457628
"What are the names, countries, and ages for every singer in descending order of age?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC","SELECT name, country, age FROM singers ORDER BY age DESC;",1.0970566272735596,89.83050847457628
"What is the average, minimum, and maximum age of all singers from France?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singers WHERE country = 'France'",0.980712890625,61.01694915254237
"What is the average, minimum, and maximum age for all French singers?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","SELECT AVG(age) AS average_age, MIN(age) AS minimum_age, MAX(age) AS maximum_age FROM singers WHERE nationality = 'French';",1.7344069480895996,52.84552845528455
Show the name and the release year of the song by the youngest singer.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT s.name, s.release_year 
FROM songs s 
JOIN singers si ON s.singer_id = si.singer_id 
ORDER BY si.birth_date DESC 
LIMIT 1",3.72489070892334,39.84375
What are the names and release years for all the songs of the youngest singer?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1","SELECT song.name, song.release_year FROM song JOIN singer ON song.singer_id = singer.id WHERE singer.birth_date = (SELECT MAX(birth_date) FROM singer);",1.0827105045318604,39.0728476821192
What are all distinct countries where singers above age 20 are from?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20;,1.823744297027588,92.3076923076923
What are  the different countries with singers above age 20?,SELECT DISTINCT country FROM singer WHERE age  >  20,SELECT DISTINCT country FROM singers WHERE age > 20;,0.77927565574646,92.3076923076923
Show all countries and the number of singers in each country.,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) AS singer_count FROM singers GROUP BY country;",1.5300092697143555,71.83098591549295
How many singers are from each country?,"SELECT country ,  count(*) FROM singer GROUP BY country","SELECT country, COUNT(*) AS singer_count FROM singers GROUP BY country;",2.947313070297241,71.83098591549295
List all song names by singers above the average age.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),"SELECT s.song_name
FROM Songs s
JOIN Singers sg ON s.singer_id = sg.singer_id
WHERE sg.age > (SELECT AVG(age) FROM Singers);",1.664210557937622,54.03225806451613
What are all the song names by singers who are older than average?,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),SELECT s.song_name FROM songs s JOIN singers si ON s.singer_id = si.singer_id WHERE si.age > (SELECT AVG(age) FROM singers),1.901177167892456,55.28455284552846
Show location and name for all stadiums with a capacity between 5000 and 10000.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stadiums WHERE capacity BETWEEN 5000 AND 10000;",2.6217234134674072,94.5945945945946
What are the locations and names of all stations with capacity between 5000 and 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000","SELECT location, name FROM stations WHERE capacity BETWEEN 5000 AND 10000;",1.2479846477508545,90.54054054054053
What is the maximum capacity and the average of all stadiums ?,"select max(capacity), average from stadium","SELECT MAX(capacity) AS max_capacity, AVG(capacity) AS avg_capacity FROM stadiums;",1.2491350173950195,47.5609756097561
What is the average and maximum capacities for all stadiums ?,"select avg(capacity) ,  max(capacity) from stadium","SELECT AVG(capacity) AS average_capacity, MAX(capacity) AS max_capacity FROM stadiums;",3.7042548656463623,56.97674418604651
What is the name and capacity for the stadium with highest average attendance?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1","SELECT s.name, s.capacity
FROM stadium s
JOIN (
    SELECT stadium_id, AVG(attendance) AS avg_attendance
    FROM attendance
    GROUP BY stadium_id
) a ON s.stadium_id = a.stadium_id
ORDER BY a.avg_attendance DESC
LIMIT 1",1.8577520847320557,27.027027027027028
