state_code,language_id,tru_id,person,male,female
00,001000,1,15311351,7810583,7500768
00,001000,2,13144701,6697715,6446986
00,001000,3,2166650,1112868,1053782
00,001002,1,14816414,7555350,7261064
00,001002,2,12680101,6458345,6221756
00,001002,3,2136313,1097005,1039308
00,001999,1,494937,255233,239704
00,001999,2,464600,239370,225230
00,001999,3,30337,15863,14474
00,002000,1,97237669,49798752,47438917
00,002000,2,69914845,35866210,34048635
00,002000,3,27322824,13932542,13390282
00,002007,1,96177835,49254753,46923082
00,002007,2,68921285,35356084,33565201
00,002007,3,27256550,13898669,13357881
00,002011,1,228281,116928,111353
00,002011,2,220162,112745,107417
00,002011,3,8119,4183,3936
00,002015,1,71792,36364,35428
00,002015,2,65601,33243,32358
00,002015,3,6191,3121,3070
00,002044,1,475861,244079,231782
00,002044,2,437408,224461,212947
00,002044,3,38453,19618,18835
00,002999,1,283900,146628,137272
00,002999,2,270389,139677,130712
00,002999,3,13511,6951,6560
00,003000,1,1482929,745017,737912
00,003000,2,1419762,712684,707078
00,003000,3,63167,32333,30834
00,003001,1,1454547,730541,724006
00,003001,2,1396225,700733,695492
00,003001,3,58322,29808,28514
00,003003,1,15984,8204,7780
00,003003,2,12784,6527,6257
00,003003,3,3200,1677,1523
00,003004,1,11546,5849,5697
00,003004,2,10064,5078,4986
00,003004,3,1482,771,711
00,003999,1,852,423,429
00,003999,2,689,346,343
00,003999,3,163,77,86
00,004000,1,2596767,1369581,1227186
00,004000,2,1903658,996807,906851
00,004000,3,693109,372774,320335
00,004001,1,2596763,1369578,1227185
00,004001,2,1903657,996806,906851
00,004001,3,693106,372772,320334
00,004999,1,4,3,1
00,004999,2,1,1,0
00,004999,3,3,2,1
00,005000,1,55492554,28562042,26930512
00,005000,2,32881496,16835772,16045724
00,005000,3,22611058,11726270,10884788
00,005018,1,55036204,28331451,26704753
00,005018,2,32767517,16777859,15989658
00,005018,3,22268687,11553592,10715095
00,005019,1,15431,7915,7516
00,005019,2,14626,7518,7108
00,005019,3,805,397,408
00,005052,1,16510,8296,8214
00,005052,2,15904,7976,7928
00,005052,3,606,320,286
00,005054,1,13812,7221,6591
00,005054,2,7516,3899,3617
00,005054,3,6296,3322,2974
00,005057,1,247702,124776,122926
00,005057,2,15888,8137,7751
00,005057,3,231814,116639,115175
00,005999,1,162895,82383,80512
00,005999,2,60045,30383,29662
00,005999,3,102850,52000,50850
00,006000,1,528347193,276610187,251737006
00,006000,2,386872201,201018956,185853245
00,006000,3,141474992,75591231,65883761
00,006030,1,3850906,1956073,1894833
00,006030,2,3731591,1892248,1839343
00,006030,3,119315,63825,55490
00,006040,1,15835,8141,7694
00,006040,2,15128,7771,7357
00,006040,3,707,370,337
00,006042,1,2679129,1379891,1299238
00,006042,2,2354669,1210613,1144056
00,006042,3,324460,169278,155182
00,006045,1,234227,123493,110734
00,006045,2,206796,109071,97725
00,006045,3,27431,14422,13009
00,006066,1,1581271,823468,757803
00,006066,2,1453870,756514,697356
00,006066,3,127401,66954,60447
00,006086,1,98806,50478,48328
00,006086,2,90354,46083,44271
00,006086,3,8452,4395,4057
00,006089,1,20924,10299,10625
00,006089,2,20841,10259,10582
00,006089,3,83,40,43
00,006096,1,181069,90634,90435
00,006096,2,175505,87745,87760
00,006096,3,5564,2889,2675
00,006102,1,50579447,26069236,24510211
00,006102,2,45323817,23181849,22141968
00,006102,3,5255630,2887387,2368243
00,006119,1,12079,4978,7101
00,006119,2,10521,4286,6235
00,006119,3,1558,692,866
00,006123,1,1556314,840267,716047
00,006123,2,1248175,674909,573266
00,006123,3,308139,165358,142781
00,006125,1,5626356,2974600,2651756
00,006125,2,4600216,2433554,2166662
00,006125,3,1026140,541046,485094
00,006133,1,125746,62452,63294
00,006133,2,107910,53287,54623
00,006133,3,17836,9165,8671
00,006142,1,16245190,8119432,8125758
00,006142,2,13461070,6713943,6747127
00,006142,3,2784120,1405489,1378631
00,006149,1,75552,38201,37351
00,006149,2,75422,38136,37286
00,006149,3,130,65,65
00,006173,1,1476446,763128,713318
00,006173,2,1196293,617793,578500
00,006173,3,280153,145335,134818
00,006195,1,2482089,1198416,1283673
00,006195,2,2004266,946910,1057356
00,006195,3,477823,251506,226317
00,006198,1,19062,9963,9099
00,006198,2,17400,9090,8310
00,006198,3,1662,873,789
00,006207,1,1227901,640395,587506
00,006207,2,1173849,611452,562397
00,006207,3,54052,28943,25109
00,006231,1,47803,24658,23145
00,006231,2,42436,21882,20554
00,006231,3,5367,2776,2591
00,006232,1,2944356,1528163,1416193
00,006232,2,2290012,1186853,1103159
00,006232,3,654344,341310,313034
00,006235,1,9806519,5216490,4590029
00,006235,2,8147073,4336083,3810990
00,006235,3,1659446,880407,779039
00,006240,1,322230097,170506524,151723573
00,006240,2,208823135,109700046,99123089
00,006240,3,113406962,60806478,52600484
00,006265,1,136779,71293,65486
00,006265,2,130195,67664,62531
00,006265,3,6584,3629,2955
00,006291,1,1117342,547695,569647
00,006291,2,1069044,522688,546356
00,006291,3,48298,25007,23291
00,006311,1,50195,26156,24039
00,006311,2,40310,20709,19601
00,006311,3,9885,5447,4438
00,006320,1,8038735,4138148,3900587
00,006320,2,7094593,3644396,3450197
00,006320,3,944142,493752,450390
00,006336,1,196295,99449,96846
00,006336,2,185690,94120,91570
00,006336,3,10605,5329,5276
00,006340,1,2081057,1012120,1068937
00,006340,2,1774955,852859,922096
00,006340,3,306102,159261,146841
00,006345,1,311175,157107,154068
00,006345,2,308621,155776,152845
00,006345,3,2554,1331,1223
00,006353,1,3276548,1677395,1599153
00,006353,2,2930089,1498172,1431917
00,006353,3,346459,179223,167236
00,006355,1,89876,44092,45784
00,006355,2,86904,42635,44269
00,006355,3,2972,1457,1515
00,006358,1,139180,69225,69955
00,006358,2,132833,66053,66780
00,006358,3,6347,3172,3175
00,006376,1,12706825,6590948,6115877
00,006376,2,10972770,5676599,5296171
00,006376,3,1734055,914349,819706
00,006391,1,5212617,2651647,2560970
00,006391,2,4684735,2381397,2303338
00,006391,3,527882,270250,257632
00,006394,1,622590,307327,315263
00,006394,2,569835,280286,289549
00,006394,3,52755,27041,25714
00,006400,1,7831749,4065111,3766638
00,006400,2,5436951,2805244,2631707
00,006400,3,2394798,1259867,1134931
00,006408,1,4212262,2125491,2086771
00,006408,2,3681530,1852743,1828787
00,006408,3,530732,272748,257984
00,006409,1,856643,446446,410197
00,006409,2,806240,419941,386299
00,006409,3,50403,26505,23898
00,006420,1,763014,384858,378156
00,006420,2,680822,342979,337843
00,006420,3,82192,41879,40313
00,006432,1,2309265,1178004,1131261
00,006432,2,2074582,1057548,1017034
00,006432,3,234683,120456,114227
00,006438,1,17279,9076,8203
00,006438,2,17246,9063,8183
00,006438,3,33,13,20
00,006439,1,3253889,1651189,1602700
00,006439,2,3001723,1516737,1484986
00,006439,3,252166,134452,117714
00,006449,1,23579,11881,11698
00,006449,2,23278,11711,11567
00,006449,3,301,170,131
00,006451,1,244914,125800,119114
00,006451,2,226645,116219,110426
00,006451,3,18269,9581,8688
00,006452,1,15595,7971,7624
00,006452,2,15146,7732,7414
00,006452,3,449,239,210
00,006454,1,18668,9346,9322
00,006454,2,18156,9077,9079
00,006454,3,512,269,243
00,006466,1,325772,162606,163166
00,006466,2,313871,156525,157346
00,006466,3,11901,6081,5820
00,006476,1,12375,6220,6155
00,006476,2,12210,6135,6075
00,006476,3,165,85,80
00,006489,1,25806344,13314254,12492090
00,006489,2,20164599,10382104,9782495
00,006489,3,5641745,2932150,2709595
00,006503,1,4345677,2180340,2165337
00,006503,2,4045994,2030137,2015857
00,006503,3,299683,150203,149480
00,006530,1,107401,55113,52288
00,006530,2,105752,54136,51616
00,006530,3,1649,977,672
00,006535,1,229788,118221,111567
00,006535,2,229032,117837,111195
00,006535,3,756,384,372
00,006541,1,170987,87078,83909
00,006541,2,154358,78769,75589
00,006541,3,16629,8309,8320
00,006547,1,1738256,873569,864687
00,006547,2,1641682,824833,816849
00,006547,3,96574,48736,47838
00,006548,1,2256228,1165836,1090392
00,006548,2,2214811,1143889,1070922
00,006548,3,41417,21947,19470
00,006999,1,16711170,8799795,7911375
00,006999,2,15456650,8121866,7334784
00,006999,3,1254520,677929,576591
00,007000,1,43706512,22111292,21595220
00,007000,2,30738803,15522360,15216443
00,007000,3,12967709,6588932,6378777
00,007002,1,133550,63780,69770
00,007002,2,81090,38645,42445
00,007002,3,52460,25135,27325
00,007016,1,43506272,22014001,21492271
00,007016,2,30614889,15462374,15152515
00,007016,3,12891383,6551627,6339756
00,007027,1,24189,11881,12308
00,007027,2,21295,10462,10833
00,007027,3,2894,1419,1475
00,007041,1,12257,6372,5885
00,007041,2,2868,1544,1324
00,007041,3,9389,4828,4561
00,007999,1,30244,15258,14986
00,007999,2,18661,9335,9326
